,Disease,Symptoms,Cleaned_Symptoms
114,Myasthenia gravis,"The first symptoms of myasthenia gravis are often droopy eyelids or double vision. It usually affects the eyes first and may spread to other parts of the body. It can take weeks, months or years for symptoms to develop in other parts of the body.
The severity of the symptoms is different for each person. It’s likely that your symptoms will tend to get worse when you’re tired. The symptoms might improve after resting.
Symptoms can include:




Eyes

You might experience droopy eyelids affecting one or both eyes, and double vision.
In some people, only the eye muscles are affected (ocular myasthenia).
In most people, the symptoms will spread to affect other parts of the body over time.









Swallowing, speaking and breathing 

You might experience:

slurred speech
difficulty swallowing
difficulty making facial expressions like smiling
problems with chewing
a change in your voice
choking or accidentally inhaling food which can cause chest infections
shortness of breath










Limbs and neck

The muscle weakness might spread to other parts of the body like your arms, legs and neck.
You might experience:

weakness in your arms, legs, neck or other parts of your body
difficulty holding your head up
aching muscles
problems with tasks like climbing stairs or washing your hair










Myasthenic crisis

Some people can experience severe breathing and swallowing difficulties, which require immediate hospital treatment. This is called a myasthenic crisis.
It’s possible for patients to experience a myasthenic crisis before they know they have myasthenia gravis.












                    Phone 999 for an ambulance if:
                





you’re experiencing severe breathing or swallowing problems

You might need emergency hospital treatment. 



You should avoid activities that could become dangerous if you experience sudden weakness, like swimming alone.

",first symptom myasthenia gravis often droopy eyelid double vision usually affect eye first may spread part body take week month year symptom develop part body severity symptom different person likely symptom tend get worse youre tired symptom might improve resting symptom include eye might experience droopy eyelid affecting one eye double vision people eye muscle affected ocular myasthenia people symptom spread affect part body time swallowing speaking breathing might experience slurred speech difficulty swallowing difficulty making facial expression like smiling problem chewing change voice choking accidentally inhaling food cause chest infection shortness breath limb neck muscle weakness might spread part body like arm leg neck might experience weakness arm leg neck part body difficulty holding head aching muscle problem task like climbing stair washing hair myasthenic crisis people experience severe breathing swallowing difficulty require immediate hospital treatment called myasthenic crisis possible patient experience myasthenic crisis know myasthenia gravis phone ambulance youre experiencing severe breathing swallowing problem might need emergency hospital treatment avoid activity could become dangerous experience sudden weakness like swimming alone
115,Nasopharyngeal cancer,"It’s often difficult to recognise nasopharyngeal cancer because the symptoms are similar to other, less serious conditions. Also, many people with nasopharyngeal cancer don’t have any symptoms until the cancer reaches an advanced stage.
Symptoms of nasopharyngeal cancer can include:

a lump in the neck
hearing loss – usually only in 1 ear
tinnitus – hearing sounds that come from inside the body rather than from an outside source
a blocked or stuffy nose
nosebleeds

Speak to your GP if you develop any worrying symptoms, particularly if they don’t improve after a few weeks. While they’re very unlikely to be caused by nasopharyngeal cancer, it’s best to get them checked out.
",often difficult recognise nasopharyngeal cancer symptom similar le serious condition also many people nasopharyngeal cancer dont symptom cancer reach advanced stage symptom nasopharyngeal cancer include lump neck hearing loss usually ear tinnitus hearing sound come inside body rather outside source blocked stuffy nose nosebleed speak gp develop worrying symptom particularly dont improve week theyre unlikely caused nasopharyngeal cancer best get checked
116,Neuroblastoma: Children,"The symptoms vary, depending on where your child’s neuroblastoma tumour is:

if the tumour is in the abdomen, your child’s tummy may be swollen and they may complain of constipation or have difficulty passing urine (peeing)
if the tumour affects the chest area, your child may be breathless and have difficulty swallowing
if the tumour occurs in the neck, it’s often visible as a lump and occasionally affects breathing and swallowing
occasionally, there are deposits of neuroblastoma in the skin that appear as small, blue-coloured lumps
if the tumour is pressing on the spinal cord, children may have weakness in the legs and walk unsteadily – if your child is not yet walking, you may notice reduced leg movements; they may also have constipation or difficulty passing urine (peeing)
your child may be found to have high blood pressure
very rarely, children may have jerky eye and muscle movements, and general unsteadiness associated with the neuroblastoma

There are often symptoms of tiredness, being pale, loss of appetite, weight loss, bone pain and generalised discomfort.
",symptom vary depending child neuroblastoma tumour tumour abdomen child tummy may swollen may complain constipation difficulty passing urine peeing tumour affect chest area child may breathless difficulty swallowing tumour occurs neck often visible lump occasionally affect breathing swallowing occasionally deposit neuroblastoma skin appear small bluecoloured lump tumour pressing spinal cord child may weakness leg walk unsteadily child yet walking may notice reduced leg movement may also constipation difficulty passing urine peeing child may found high blood pressure rarely child may jerky eye muscle movement general unsteadiness associated neuroblastoma often symptom tiredness pale loss appetite weight loss bone pain generalised discomfort
117,Non-alcoholic fatty liver disease (NAFLD),"There aren’t usually any symptoms of NAFLD in the early stages. You probably won’t know you have it unless it’s diagnosed during tests carried out for another reason.
Occasionally, people with NASH or fibrosis (more advanced stages of the disease) may experience:

a dull or aching pain in the top right of the tummy (over the lower right side of the ribs)
fatigue (extreme tiredness)
unexplained weight loss
weakness

If cirrhosis (the most advanced stage) develops, you can get more severe symptoms such as yellowing of the skin and the whites of the eyes (jaundice), itchy skin, and swelling in the legs, ankles, feet or tummy.
Read more about the symptoms of cirrhosis.
",arent usually symptom nafld early stage probably wont know unless diagnosed test carried another reason occasionally people nash fibrosis advanced stage disease may experience dull aching pain top right tummy lower right side rib fatigue extreme tiredness unexplained weight loss weakness cirrhosis advanced stage develops get severe symptom yellowing skin white eye jaundice itchy skin swelling leg ankle foot tummy read symptom cirrhosis
118,Non-Hodgkin lymphoma: Children,"The first sign of NHL is usually a lump somewhere in the body, which is caused by swollen lymph nodes. This can cause different symptoms, depending on where the swollen lymph nodes are. If glands in the abdomen are affected, this may cause a feeling of being full after meals and some stomach pain. Other symptoms of NHL include a high temperature (fever), tiredness, weight loss, and loss of appetite. In a few children, lymphoma cells may be found in the bone marrow or in the fluid around the spinal cord (cerebrospinal fluid).
",first sign nhl usually lump somewhere body caused swollen lymph node cause different symptom depending swollen lymph node gland abdomen affected may cause feeling full meal stomach pain symptom nhl include high temperature fever tiredness weight loss loss appetite child lymphoma cell may found bone marrow fluid around spinal cord cerebrospinal fluid
119,Obsessive compulsive disorder (OCD),"OCD affects people differently. It usually causes a particular pattern of thought and behaviour.
This pattern has 4 main steps:

Obsession – where an intrusive, distressing thought, image or urge repeatedly enters your mind.
Anxiety – the obsession provokes a feeling of intense anxiety or distress.
Compulsion – repetitive behaviours or mental acts that you feel you have to do as a result of the anxiety and distress caused by the obsession.
Temporary relief – the compulsive behaviour brings temporary relief, but the obsession and anxiety return, causing the cycle to begin again.

Obsessive thoughts
Almost everyone has unpleasant or unwanted thoughts at some point in their life. This might be a concern that you’ve forgotten to lock the door of the house or that you might get a disease from touching other people. It could be sudden unwelcome violent or offensive mental images.
Most people are able to put these types of thoughts and concerns into context. They can then carry on with their day-to-day life. They do not repeatedly think about worries they know have little substance.
If you have persistent and unwanted thoughts that dominates your thinking, you may have developed an obsession.
Some common obsessions that affect people with OCD include:

fear of deliberately harming yourself or others – for example, fear you may attack someone else, even though this type of behaviour disgusts you
fear of harming yourself or others by mistake or accident – for example, fear you may set the house on fire by accidentally leaving the cooker on
fear of contamination by disease, infection or an unpleasant substance
a need for symmetry or orderliness – for example, you may feel the need to ensure all the tins in your cupboard face the same way

Compulsive behaviour
Compulsions happen as a way of trying to reduce or prevent the harm of the obsessive thought. However, this behaviour is either excessive or not connected at all.
For example, a person who fears becoming contaminated with dirt and germs may wash their hands repeatedly. Or someone with a fear of causing harm to their family may have the urge to repeat an action multiple times to try to ‘neutralise’ the thought of harm. This type of compulsive behaviour is particularly common in children with OCD.
Most people with OCD realise that such compulsive behaviour is irrational. They might know it makes no logical sense, but they cannot stop acting on their compulsion.
Not all compulsive behaviours will be obvious to other people.
",ocd affect people differently usually cause particular pattern thought behaviour pattern main step obsession intrusive distressing thought image urge repeatedly enters mind anxiety obsession provokes feeling intense anxiety distress compulsion repetitive behaviour mental act feel result anxiety distress caused obsession temporary relief compulsive behaviour brings temporary relief obsession anxiety return causing cycle begin obsessive thought almost everyone unpleasant unwanted thought point life might concern youve forgotten lock door house might get disease touching people could sudden unwelcome violent offensive mental image people able put type thought concern context carry daytoday life repeatedly think worry know little substance persistent unwanted thought dominates thinking may developed obsession common obsession affect people ocd include fear deliberately harming others example fear may attack someone else even though type behaviour disgust fear harming others mistake accident example fear may set house fire accidentally leaving cooker fear contamination disease infection unpleasant substance need symmetry orderliness example may feel need ensure tin cupboard face way compulsive behaviour compulsion happen way trying reduce prevent harm obsessive thought however behaviour either excessive connected example person fear becoming contaminated dirt germ may wash hand repeatedly someone fear causing harm family may urge repeat action multiple time try neutralise thought harm type compulsive behaviour particularly common child ocd people ocd realise compulsive behaviour irrational might know make logical sense cannot stop acting compulsion compulsive behaviour obvious people
120,Oesophageal cancer,"Oesophageal cancer doesn’t usually cause any symptoms in the early stages when the tumour is small. It’s only when it gets bigger that symptoms tend to develop.
Symptoms of oesophageal cancer can include:

difficulty swallowing
persistent indigestion or heartburn
bringing up food soon after eating
loss of appetite and weight loss
pain or discomfort in your upper tummy, chest or back

Read more about the symptoms of oesophageal cancer
",oesophageal cancer doesnt usually cause symptom early stage tumour small get bigger symptom tend develop symptom oesophageal cancer include difficulty swallowing persistent indigestion heartburn bringing food soon eating loss appetite weight loss pain discomfort upper tummy chest back read symptom oesophageal cancer
121,Osteoarthritis,"The main symptoms of osteoarthritis are pain and stiffness in your joints. This can make it difficult to move the affected joints and do certain activities.
The symptoms may come and go, which can be related to things like your activity levels and even the weather. In more severe cases, the symptoms can be continuous.
Other symptoms you or your healthcare professional may notice include:

joint tenderness
increased pain and stiffness when you have not moved your joints for a while
joints appearing slightly larger or more ‘knobbly’ than usual
a grating or crackling sound or sensation in your joints
limited range of movement in your joints
weakness and loss of muscle bulk

Osteoarthritis can affect any joint in the body. The most common areas affected are the knees, hips, and small joints in the hands. Often, you will only experience symptoms in one joint or a few joints at any one time.
",main symptom osteoarthritis pain stiffness joint make difficult move affected joint certain activity symptom may come go related thing like activity level even weather severe case symptom continuous symptom healthcare professional may notice include joint tenderness increased pain stiffness moved joint joint appearing slightly larger knobbly usual grating crackling sound sensation joint limited range movement joint weakness loss muscle bulk osteoarthritis affect joint body common area affected knee hip small joint hand often experience symptom one joint joint one time
122,Osteoarthritis of the knee,"These can vary from person to person.
People may experience some or all of these symptoms including:

joint pain that can be worse when moving or doing activities.  
stiffness in the knee, often in the morning or after resting.
swelling in the joint.
weakness in the thigh muscle.  
feeling the knee giving way during walking or weight-bearing.  
creaking, grating and crunching noises as you move.  

",vary person person people may experience symptom including joint pain worse moving activity stiffness knee often morning resting swelling joint weakness thigh muscle feeling knee giving way walking weightbearing creaking grating crunching noise move
123,Outer ear infection (otitis externa),"Symptoms of otitis externa include:

ear pain
itching and irritation in and around your ear canal
redness and swelling of your outer ear and ear canal
a feeling of pressure and fullness inside your ear
scaly skin in and around your ear canal, which may peel off
discharge from your ear, which can be either thin and watery or thick and pus-like
tenderness when you move your ear or jaw
swollen and sore glands in your throat
some hearing loss

Usually, only one ear is affected.
With treatment, these symptoms should clear up within a few days. Some cases can persist for several months or longer.
",symptom otitis externa include ear pain itching irritation around ear canal redness swelling outer ear ear canal feeling pressure fullness inside ear scaly skin around ear canal may peel discharge ear either thin watery thick puslike tenderness move ear jaw swollen sore gland throat hearing loss usually one ear affected treatment symptom clear within day case persist several month longer
124,Ovarian cyst,"Most cysts are found by chance during a scan. They’re unlikely to cause any symptoms unless they’re large or abnormal.
An ovarian cyst will usually only cause symptoms if it splits (ruptures), is very large, or it blocks the blood supply to the ovaries.







                    Contact your GP practice if:
                





you have sudden, severe pelvic pain

If your GP is closed, phone 111. 








                    Contact your GP practice if:
                




You’re worried about your symptoms or you regularly have:

pelvic pain – this can range from a dull, heavy sensation to a sudden, severe and sharp pain
pain during sex
difficulty having a poo
a frequent need to urinate
heavy periods, irregular periods or lighter periods than normal
bloating and a swollen tummy
feeling very full after only eating a little
difficulty getting pregnant

If your GP practice is closed, phone 111. 

Useful information for your doctor
It can be helpful to keep a note of your period dates and symptoms using a calendar, a diary or an app. You can then discuss this with your doctor who can decide if any tests or treatments might be needed.
If you’re seeing your doctor, there are some useful pieces of information to think about beforehand:

the first day of your last period (when it started)
how many days your period usually lasts
what was the shortest time between your periods (from the first day of one period to the first day of the next)
what was the longest time between your periods (from the first day of one period to the first day of the next)
how often you need to change your period products on a heavy day
if you are over 25, when you had your last smear test

",cyst found chance scan theyre unlikely cause symptom unless theyre large abnormal ovarian cyst usually cause symptom split rupture large block blood supply ovary contact gp practice sudden severe pelvic pain gp closed phone contact gp practice youre worried symptom regularly pelvic pain range dull heavy sensation sudden severe sharp pain pain sex difficulty poo frequent need urinate heavy period irregular period lighter period normal bloating swollen tummy feeling full eating little difficulty getting pregnant gp practice closed phone useful information doctor helpful keep note period date symptom using calendar diary app discus doctor decide test treatment might needed youre seeing doctor useful piece information think beforehand first day last period started many day period usually last shortest time period first day one period first day next longest time period first day one period first day next often need change period product heavy day last smear test
125,Pain in the ball of the foot,"Pain in the ball of the foot tends to develop gradually over time.







                    Phone 111 if:
                





there’s been new, significant trauma within the last 7 days, for example a fall from height or direct blow to the foot
your foot is misshapen following a new injury
you can’t put any weight at all through your foot
 








                    Contact your GP if:
                





you have foot pain that has appeared suddenly without any impact or injury

Phone 111 if your GP is closed. 

The pain is sometimes described as:

a burning or aching sensation
a shooting pain
tingling or numbness in the toes
a feeling like there’s a small stone stuck under the foot

",pain ball foot tends develop gradually time phone there new significant trauma within last day example fall height direct blow foot foot misshapen following new injury cant put weight foot contact gp foot pain appeared suddenly without impact injury phone gp closed pain sometimes described burning aching sensation shooting pain tingling numbness toe feeling like there small stone stuck foot
126,Pancreatic cancer,"In the early stages, a tumour in the pancreas doesn’t usually cause any symptoms, which can make it difficult to diagnose.
It’s important to remember that these symptoms can be caused by many different conditions, and aren’t usually the result of cancer. But you should contact your GP if you’re concerned, or if these symptoms start suddenly.
The first noticeable symptoms of pancreatic cancer are often:

pain in the back or stomach area – which may come and go at first and is often worse when you lie down or after you’ve eaten
unexpected weight loss
jaundice – the most obvious sign is yellowing of the skin and whites of the eyes; it also causes your urine to be dark yellow or orange and your stools (faeces) to be pale-coloured

Other possible symptoms of pancreatic cancer include:

nausea and vomiting
bowel changes
fever and shivering
indigestion
blood clots

You may also develop symptoms of diabetes if you have pancreatic cancer, because it can produce chemicals that interfere with the normal effect of insulin.
Endocrine pancreatic cancer
There are also a number of different endocrine tumours that cause different symptoms, depending on the hormone the tumour produces.
",early stage tumour pancreas doesnt usually cause symptom make difficult diagnose important remember symptom caused many different condition arent usually result cancer contact gp youre concerned symptom start suddenly first noticeable symptom pancreatic cancer often pain back stomach area may come go first often worse lie youve eaten unexpected weight loss jaundice obvious sign yellowing skin white eye also cause urine dark yellow orange stool faeces palecoloured possible symptom pancreatic cancer include nausea vomiting bowel change fever shivering indigestion blood clot may also develop symptom diabetes pancreatic cancer produce chemical interfere normal effect insulin endocrine pancreatic cancer also number different endocrine tumour cause different symptom depending hormone tumour produce
127,Parkinson’s disease,"The symptoms of Parkinson’s disease usually develop gradually and are mild at first.
There are many different symptoms associated with Parkinson’s disease. Some of the more common symptoms are described below.
However, the order in which these develop and their severity is different for each individual. It’s unlikely that a person with Parkinson’s disease would experience all or most of these.
",symptom parkinson disease usually develop gradually mild first many different symptom associated parkinson disease common symptom described however order develop severity different individual unlikely person parkinson disease would experience
128,Pelvic inflammatory disease,"PID often does not cause any obvious symptoms.
Most symptoms are mild, making it difficult to diagnose.
Symptoms include:

pain around the pelvis or lower tummy
discomfort or pain during sex that is felt deep inside the pelvis
pain when peeing
bleeding between periods or after sex
heavy periods
painful periods
unusual vaginal discharge

Less common symptoms include:

severe tummy pain
a high temperature (fever)
feeling and being sick

",pid often cause obvious symptom symptom mild making difficult diagnose symptom include pain around pelvis lower tummy discomfort pain sex felt deep inside pelvis pain peeing bleeding period sex heavy period painful period unusual vaginal discharge le common symptom include severe tummy pain high temperature fever feeling sick
129,Personality disorder,"For example, borderline personality disorder (one of the most common types) can lead to:

disordered thinking
impulsive behaviour
problems controlling your emotions
concerns that other people will abandon you
intense but unstable relationships

Antisocial personality disorder can cause:

you to get frustrated easily
difficulty controlling anger

Other symptoms can include:

avoiding other people
being overwhelmed with feelings like anxiety or distress
feeling empty and emotionally distressed
difficulty maintaining stable and close relationships with other people
periods of losing contact with reality

Some people with personality disorders may have other mental health problems. For example, depression or drug and alcohol misuse.
",example borderline personality disorder one common type lead disordered thinking impulsive behaviour problem controlling emotion concern people abandon intense unstable relationship antisocial personality disorder cause get frustrated easily difficulty controlling anger symptom include avoiding people overwhelmed feeling like anxiety distress feeling empty emotionally distressed difficulty maintaining stable close relationship people period losing contact reality people personality disorder may mental health problem example depression drug alcohol misuse
130,Polio,"About 95% of people with polio won’t have any symptoms and will fight off the infection without even realising they were infected.
A small number of people will experience a flu-like illness 3 to 21 days after they’re infected.
Symptoms can include:

a high temperature (fever) of 38C (100.4F) or above
a sore throat
a headache
abdominal (tummy) pain
aching muscles
feeling and being sick

These symptoms will usually pass within about a week.
In less than 1% of cases, the polio virus attacks the nerves in the spine and base of the brain. This can cause paralysis, usually in the legs, that develops over hours or days.
The paralysis isn’t usually permanent, and movement will often slowly return over the next few weeks and months.
But some people are left with persistent problems. If the breathing muscles are affected, it can be life threatening.
",people polio wont symptom fight infection without even realising infected small number people experience flulike illness day theyre infected symptom include high temperature fever c f sore throat headache abdominal tummy pain aching muscle feeling sick symptom usually pas within week le case polio virus attack nerve spine base brain cause paralysis usually leg develops hour day paralysis isnt usually permanent movement often slowly return next week month people left persistent problem breathing muscle affected life threatening
131,Polymyalgia rheumatica,"Polymyalgia rheumatica often causes pain and stiffness. This can affect the shoulders, neck and hips. These symptoms can develop quickly over a few days or weeks. Both sides of the body are usually affected.
The stiffness often feels worse first thing in the morning after you wake up. It usually starts to improve after about 45 minutes as you become more active.
Polymyalgia rheumatica may also cause:

high temperature (fever) and sweating
extreme tiredness (fatigue)
loss of appetite
weight loss
depression








                    Speak to your GP practice urgently or phone 111 if:
                




You have been diagnosed with polymyalgia rheumatic and you suddenly develop:

a persistent and severe headache
jaw pain or cramping in your jaw muscles which is worse when you’re eating
pain in your tongue when chewing
 

If you have been diagnosed with polymyalgia rheumatica and you suddenly develop vision loss or changes in your vision, like double vision, contact an optician immediately or phone 111.
",polymyalgia rheumatica often cause pain stiffness affect shoulder neck hip symptom develop quickly day week side body usually affected stiffness often feel worse first thing morning wake usually start improve minute become active polymyalgia rheumatica may also cause high temperature fever sweating extreme tiredness fatigue loss appetite weight loss depression speak gp practice urgently phone diagnosed polymyalgia rheumatic suddenly develop persistent severe headache jaw pain cramping jaw muscle worse youre eating pain tongue chewing diagnosed polymyalgia rheumatica suddenly develop vision loss change vision like double vision contact optician immediately phone
132,Post-polio syndrome,"The symptoms of post-polio syndrome include:

muscle weakness
shrinking of the muscles (atrophy)
tight joints (contractures)
pain in muscles or joints
chronic fatigue including physical tiredness and brain fatigue
swallowing and speech problems
respiratory problems like breathlessness and sleep apnoea
cramps and muscle twitching
being sensitive to cold temperatures

The muscle weakness and atrophy usually affects muscles that were previously affected by polio. Sometimes it affects other muscles.
This can impact your mobility and your ability to do everyday tasks like brushing your teeth or drying your hair.
Chronic fatigue is one of the most common and troublesome symptoms of post-polio syndrome. This can be physical fatigue (tiredness) and brain fatigue. Brain fatigue can cause problems with concentration, attention and memory. MRI scans can show white spots in the brains of polio survivors which may be related to brain fatigue.
The symptoms can gradually get worse over many years. There are supportive treatments that can help with symptoms.
Although post-polio syndrome is rarely life threatening, some people can develop breathing and swallowing difficulties that can lead to serious problems like chest infections.
Some people experience a sensitivity to some types of anaesthesia causing them to take longer to recover from having anaesthesia.
",symptom postpolio syndrome include muscle weakness shrinking muscle atrophy tight joint contracture pain muscle joint chronic fatigue including physical tiredness brain fatigue swallowing speech problem respiratory problem like breathlessness sleep apnoea cramp muscle twitching sensitive cold temperature muscle weakness atrophy usually affect muscle previously affected polio sometimes affect muscle impact mobility ability everyday task like brushing teeth drying hair chronic fatigue one common troublesome symptom postpolio syndrome physical fatigue tiredness brain fatigue brain fatigue cause problem concentration attention memory mri scan show white spot brain polio survivor may related brain fatigue symptom gradually get worse many year supportive treatment help symptom although postpolio syndrome rarely life threatening people develop breathing swallowing difficulty lead serious problem like chest infection people experience sensitivity type anaesthesia causing take longer recover anaesthesia
133,Postural orthostatic tachycardia syndrome (PoTS),"Symptoms of PoTS include:

dizziness or light-headedness
fainting or almost fainting
a noticeably strong, fast heartbeat (palpitations)
chest pain
shortness of breath
shaking
sweating
sleep disturbance

Some symptoms of PoTS happen when you stand up and get better when you lie down. You may also experience other symptoms, like:

problems with your stomach or digestion, like feeling sick, being sick, diarrhoea, constipation and abdominal pain
headaches
extreme tiredness (fatigue)
problems with your vision, like blurred vision or tunnel vision
your hands and feet look blue – this may be more difficult to see if you have brown or black skin
weakness and feeling of heaviness in legs and arms
brain fog

Some people experience mild symptoms, while other people’s symptoms can have a big impact on their daily life.
There are some factors that can make your symptoms worse, like:

feeling too hot
not drinking enough fluids
eating, especially some forms of carbohydrates like white bread
drinking alcohol
resting too much
exercise
being on your period








                    Speak to your GP if:
                





you have symptoms of PoTS
 

",symptom pot include dizziness lightheadedness fainting almost fainting noticeably strong fast heartbeat palpitation chest pain shortness breath shaking sweating sleep disturbance symptom pot happen stand get better lie may also experience symptom like problem stomach digestion like feeling sick sick diarrhoea constipation abdominal pain headache extreme tiredness fatigue problem vision like blurred vision tunnel vision hand foot look blue may difficult see brown black skin weakness feeling heaviness leg arm brain fog people experience mild symptom people symptom big impact daily life factor make symptom worse like feeling hot drinking enough fluid eating especially form carbohydrate like white bread drinking alcohol resting much exercise period speak gp symptom pot
134,Progressive supranuclear palsy (PSP),"PSP usually develops gradually and can sometimes be mistaken for other conditions. The symptoms tend to get worse over many years.




Early symptoms

The first symptoms of PSP you might experience include:

repeated falls (often backwards) caused by a sudden loss of balance when walking
muscle stiffness, especially in the neck
fatigue
changes in personality like mood swings and irritability
changes in behaviour like recklessness and poor judgement
dislike of bright lights (photophobia)
eye problems like blurred or double vision, problems looking up and down, or involuntary eye closure
tremors (involuntary shaking of parts of the body)
slow movement










Mid term symptoms

The symptoms of PSP, like balance and mobility problems, are likely to progressively get worse.
The new symptoms that might develop at this stage include:

slurred, slow or quiet speech
problems with swallowing (dysphagia)
involuntary blinking or twitching of the eyelids
reduced blinking reflex which causes the eyes to become dry and irritated
problems sleeping
memory problems
slowness of thought
back, neck and joint pain










Long term symptoms

As the symptoms of PSP get worse, your speech might become slower and more slurred.
Mobility problems might get worse and you might need a wheelchair to help you get around.
At the advanced stage, people with PSP are likely to have difficulty controlling the muscles of their mouth, tongue and throat.
Swallowing problems can become worse because of the loss of control of the throat muscles.
PSP can cause problems like constipation and difficulty passing urine (peeing). It can also cause frequent peeing during the night. Sometimes it can cause you to lose control of your bowel and bladder movements (incontinence).





",psp usually develops gradually sometimes mistaken condition symptom tend get worse many year early symptom first symptom psp might experience include repeated fall often backwards caused sudden loss balance walking muscle stiffness especially neck fatigue change personality like mood swing irritability change behaviour like recklessness poor judgement dislike bright light photophobia eye problem like blurred double vision problem looking involuntary eye closure tremor involuntary shaking part body slow movement mid term symptom symptom psp like balance mobility problem likely progressively get worse new symptom might develop stage include slurred slow quiet speech problem swallowing dysphagia involuntary blinking twitching eyelid reduced blinking reflex cause eye become dry irritated problem sleeping memory problem slowness thought back neck joint pain long term symptom symptom psp get worse speech might become slower slurred mobility problem might get worse might need wheelchair help get around advanced stage people psp likely difficulty controlling muscle mouth tongue throat swallowing problem become worse loss control throat muscle psp cause problem like constipation difficulty passing urine peeing also cause frequent peeing night sometimes cause lose control bowel bladder movement incontinence
135,Psoriasis,"Psoriasis typically causes patches of skin that are dry, red and covered in silver scales. Some people find their psoriasis causes itching or soreness.
There are several different types of psoriasis. Many people have only one form of psoriasis at a time, although 2 different types can occur together. One type may change into another type, or become more severe.
Most cases of psoriasis go through cycles, causing problems for a few weeks or months before easing or stopping.
You should see your GP if you think you may have psoriasis.
Psoriasis often occurs on the elbow area.Source: https://dermnetnz.org/
",psoriasis typically cause patch skin dry red covered silver scale people find psoriasis cause itching soreness several different type psoriasis many people one form psoriasis time although different type occur together one type may change another type become severe case psoriasis go cycle causing problem week month easing stopping see gp think may psoriasis psoriasis often occurs elbow areasource httpsdermnetnzorg
136,Pulmonary hypertension,"Symptoms of pulmonary hypertension include:

shortness of breath
fatigue (extreme tiredness)
dizziness
feeling faint
chest pain (angina)
a racing heartbeat (tachycardia)

People with a particular type known as pulmonary arterial hypertension (PAH) may not experience any symptoms until their condition is already quite advanced.
",symptom pulmonary hypertension include shortness breath fatigue extreme tiredness dizziness feeling faint chest pain angina racing heartbeat tachycardia people particular type known pulmonary arterial hypertension pah may experience symptom condition already quite advanced
137,Restless legs syndrome,"Restless legs syndrome typically causes an overwhelming urge to move your legs. It also causes an uncomfortable sensation in your legs, which can affect your arms, chest and face.
This sensation has been described as:

tingling, burning, itching or throbbing
a ‘creepy-crawly’ feeling
feeling like fizzy water is inside the blood vessels in the legs
a painful, cramping sensation in the legs, particularly in the calves

These unpleasant sensations can range from mild to unbearable. They’re usually worse in the evening and during the night. The sensation can often be relieved by moving or rubbing your legs.
Some people experience symptoms occasionally, while others have them every day. You may find it difficult to sit for long periods of time, like on a long train journey.
Periodic limb movements in sleep (PLMS)
Up to 80% of people with restless legs syndrome also have periodic limb movements in sleep (PLMS).
If you have PLMS, your leg will jerk or twitch uncontrollably, usually at night while you’re asleep. The movements are brief and repetitive, and usually occur every 10 to 60 seconds.
PLMS can be severe enough to wake up both you and your partner. The involuntary leg movements can also occur when you’re awake and resting.
",restless leg syndrome typically cause overwhelming urge move leg also cause uncomfortable sensation leg affect arm chest face sensation described tingling burning itching throbbing creepycrawly feeling feeling like fizzy water inside blood vessel leg painful cramping sensation leg particularly calf unpleasant sensation range mild unbearable theyre usually worse evening night sensation often relieved moving rubbing leg people experience symptom occasionally others every day may find difficult sit long period time like long train journey periodic limb movement sleep plms people restless leg syndrome also periodic limb movement sleep plms plms leg jerk twitch uncontrollably usually night youre asleep movement brief repetitive usually occur every second plms severe enough wake partner involuntary leg movement also occur youre awake resting
138,Rheumatoid arthritis,"The symptoms of rheumatoid arthritis vary from person to person. They can come and go, and may change over time.
Symptoms of rheumatoid arthritis that affect the joints include:

pain
swelling
stiffness and difficulty moving affected joints
redness
heat around the joints

In some people, firm swellings called rheumatoid nodules also develop under the skin around affected joints.
Some people with rheumatoid arthritis can experience other symptoms. This includes:

tiredness and lack of energy
a high temperature (fever)
sweating
a poor appetite
weight loss

",symptom rheumatoid arthritis vary person person come go may change time symptom rheumatoid arthritis affect joint include pain swelling stiffness difficulty moving affected joint redness heat around joint people firm swelling called rheumatoid nodule also develop skin around affected joint people rheumatoid arthritis experience symptom includes tiredness lack energy high temperature fever sweating poor appetite weight loss
139,Rosacea,"Symptoms often begin with episodes of flushing, where the skin turns red for a short period, but other symptoms can develop as the condition progresses, such as:

burning and stinging sensations
permanent redness
spots (papules and pustules)
small blood vessels in the skin becoming visible

Rosacea is a relapsing condition, which means there are periods when symptoms are particularly bad, but less severe at others.
Read about the symptoms of rosacea
Rosacea symptoms include redness and flushing, as well as stinging and spots.Source: https://dermnetnz.org/
",symptom often begin episode flushing skin turn red short period symptom develop condition progress burning stinging sensation permanent redness spot papule pustule small blood vessel skin becoming visible rosacea relapsing condition mean period symptom particularly bad le severe others read symptom rosacea rosacea symptom include redness flushing well stinging spotssource httpsdermnetnzorg
